,number,value,datetime_start,datetime_complete,duration,params_alpha,params_rank,params_regParam,state
0,0,,2023-05-08 20:56:08.378439,2023-05-08 22:42:23.777294,0 days 01:46:15.398855,71.51650691587018,15,2.829877763329613,FAIL
1,1,9.623010243203917e-05,2023-05-08 22:42:59.180940,2023-05-09 01:09:53.980296,0 days 02:26:54.799356,71.51650691587018,15,2.829877763329613,COMPLETE
2,2,0.00809605066447796,2023-05-09 01:09:54.003731,2023-05-09 01:48:44.989996,0 days 00:38:50.986265,2.3339623963286424,40,0.5958304299879255,COMPLETE
3,3,9.775248145754116e-05,2023-05-09 01:48:45.098335,2023-05-09 02:01:19.765914,0 days 00:12:34.667579,0.002242664844373459,6,516.4718617235777,COMPLETE
4,4,9.775248145754119e-05,2023-05-09 02:01:19.789535,2023-05-09 02:11:05.429596,0 days 00:09:45.640061,24.92867729930927,35,3274.2995580387665,COMPLETE
5,5,9.775248145754115e-05,2023-05-09 02:11:05.452708,2023-05-09 02:17:46.080247,0 days 00:06:40.627539,0.08055334507256914,4,1538.731839388124,COMPLETE
6,6,0.09007487414035417,2023-05-09 02:17:46.100803,2023-05-09 02:33:30.661228,0 days 00:15:44.560425,0.6620227432385412,17,0.18518253465826826,COMPLETE
7,7,9.775248145754116e-05,2023-05-09 02:33:30.681836,2023-05-09 03:12:01.280806,0 days 00:38:30.598970,0.5363359840711632,17,50.98161727771198,COMPLETE
8,8,9.775248145754112e-05,2023-05-09 03:12:01.300603,2023-05-09 03:27:32.298352,0 days 00:15:30.997749,0.045904037668532405,15,558.5621508727187,COMPLETE
9,9,9.775248145754116e-05,2023-05-09 03:27:32.320544,2023-05-09 04:33:10.417886,0 days 01:05:38.097342,11.575299009405313,12,10.624964385072872,COMPLETE
10,10,9.775248145754116e-05,2023-05-09 04:33:10.439317,2023-05-09 05:26:15.144664,0 days 00:53:04.705347,0.10296206397283704,20,39.13405672517893,COMPLETE
11,11,0.12579723683372465,2023-05-09 05:26:15.165416,2023-05-09 05:52:51.371730,0 days 00:26:36.206314,3.37369822655384,32,0.02084177441292309,COMPLETE
12,12,0.12707226455759993,2023-05-09 05:52:51.390258,2023-05-09 06:17:16.432169,0 days 00:24:25.041911,759.3038319203057,29,0.016546131094818426,COMPLETE
13,13,0.12762568635714436,2023-05-09 06:17:16.452760,2023-05-09 06:41:57.627589,0 days 00:24:41.174829,698.4077185531368,30,0.01073560599054175,COMPLETE
14,14,0.13488452475481663,2023-05-09 06:41:57.647666,2023-05-09 07:29:25.700032,0 days 00:47:28.052366,871.5484756490634,48,0.014962138800825598,COMPLETE
15,15,0.11944212035862092,2023-05-09 07:29:25.721899,2023-05-09 08:28:11.358896,0 days 00:58:45.636997,713.2369586150778,50,0.1258889470265476,COMPLETE
16,16,0.13639391688062563,2023-05-09 08:28:11.379754,2023-05-09 09:19:30.461339,0 days 00:51:19.081585,167.88839159626573,50,0.013227238870714593,COMPLETE
17,17,0.00031231980223174927,2023-05-09 09:19:30.482943,2023-05-09 09:41:01.210941,0 days 00:21:30.727998,130.70660293672515,50,59142.90870650412,COMPLETE
18,18,0.11912027987567111,2023-05-09 09:41:01.233256,2023-05-09 10:22:40.600116,0 days 00:41:39.366860,134.54370359032714,43,0.09588524427707341,COMPLETE
19,19,9.360110791677006e-06,2023-05-09 10:22:40.619091,2023-05-09 10:42:55.164765,0 days 00:20:14.545674,30.58156852326744,44,1.2960384435177355,COMPLETE
20,20,0.12441642702378303,2023-05-09 10:42:55.184296,2023-05-09 11:16:17.971022,0 days 00:33:22.786726,218.39574594146373,38,0.05935798563277612,COMPLETE
21,21,0.026347122053625528,2023-05-09 11:16:17.989696,2023-05-09 11:43:17.312220,0 days 00:26:59.322524,996.6768601522134,24,0.3717638848806065,COMPLETE
22,22,0.1361960442635775,2023-05-09 11:43:17.336482,2023-05-09 12:27:24.220877,0 days 00:44:06.884395,252.48741160926792,44,0.015482441047287944,COMPLETE
23,23,0.1325045276540278,2023-05-09 12:27:24.241098,2023-05-09 13:08:46.478912,0 days 00:41:22.237814,205.44075523022926,45,0.037683156436912627,COMPLETE
24,24,0.13580141036584478,2023-05-09 13:08:46.497114,2023-05-09 13:55:13.500725,0 days 00:46:27.003611,55.678441412663815,47,0.010880667870948196,COMPLETE
25,25,0.11956312776034625,2023-05-09 13:55:13.519992,2023-05-09 14:40:16.432273,0 days 00:45:02.912281,51.122911093237306,39,0.10477535411334468,COMPLETE
26,26,,2023-05-09 14:40:16.455301,2023-05-09 15:49:43.013843,0 days 01:09:26.558542,9.118347110650785,46,0.04508736044898344,FAIL
